SMITH,1.006
JOHNSON,0.81
WILLIAMS,0.699
JONES,0.621
BROWN,0.621
DAVIS,0.48
MILLER,0.424
WILSON,0.339
MOORE,0.312
TAYLOR,0.311
ANDERSON,0.311
THOMAS,0.311
JACKSON,0.31
WHITE,0.279
HARRIS,0.275
MARTIN,0.273
THOMPSON,0.269
GARCIA,0.254
MARTINEZ,0.234
ROBINSON,0.233
CLARK,0.231
RODRIGUEZ,0.229
LEWIS,0.226
LEE,0.22
WALKER,0.219
HALL,0.2
ALLEN,0.199
YOUNG,0.193
HERNANDEZ,0.192
KING,0.19
WRIGHT,0.189
LOPEZ,0.187
HILL,0.187
SCOTT,0.185
GREEN,0.183
ADAMS,0.174
BAKER,0.171
GONZALEZ,0.166
NELSON,0.162
CARTER,0.162
MITCHELL,0.16
PEREZ,0.155
ROBERTS,0.153
TURNER,0.152
PHILLIPS,0.149
CAMPBELL,0.149
PARKER,0.146
EVANS,0.141
EDWARDS,0.137
COLLINS,0.134
STEWART,0.133
SANCHEZ,0.13
MORRIS,0.125
ROGERS,0.123
REED,0.122
COOK,0.12
MORGAN,0.118
BELL,0.117
MURPHY,0.117
BAILEY,0.115
RIVERA,0.113
COOPER,0.113
RICHARDSON,0.112
COX,0.11
HOWARD,0.11
WARD,0.108
TORRES,0.108
PETERSON,0.107
GRAY,0.106
RAMIREZ,0.105
JAMES,0.105
WATSON,0.103
BROOKS,0.103
KELLY,0.102
SANDERS,0.1
PRICE,0.099
BENNETT,0.099
WOOD,0.098
BARNES,0.097
ROSS,0.096
HENDERSON,0.095
COLEMAN,0.095
JENKINS,0.095
PERRY,0.094
POWELL,0.093
LONG,0.092
PATTERSON,0.092
HUGHES,0.092
FLORES,0.092
WASHINGTON,0.092
BUTLER,0.091
SIMMONS,0.091
FOSTER,0.091
GONZALES,0.087
BRYANT,0.087
ALEXANDER,0.085
RUSSELL,0.085
GRIFFIN,0.084
DIAZ,0.084
HAYES,0.083
MYERS,0.083
FORD,0.082
HAMILTON,0.082
GRAHAM,0.082
SULLIVAN,0.081
WALLACE,0.081
WOODS,0.08
COLE,0.08
WEST,0.08
JORDAN,0.078
OWENS,0.078
REYNOLDS,0.078
FISHER,0.077
ELLIS,0.077
HARRISON,0.076
GIBSON,0.075
MCDONALD,0.075
CRUZ,0.075
MARSHALL,0.075
ORTIZ,0.075
GOMEZ,0.075
MURRAY,0.074
FREEMAN,0.074
WELLS,0.073
WEBB,0.072
SIMPSON,0.07
STEVENS,0.07
TUCKER,0.07
PORTER,0.069
HUNTER,0.069
HICKS,0.069
CRAWFORD,0.068
HENRY,0.068
BOYD,0.068
MASON,0.068
MORALES,0.067
KENNEDY,0.067
WARREN,0.067
DIXON,0.066
RAMOS,0.066
REYES,0.066
BURNS,0.065
GORDON,0.065
SHAW,0.065
HOLMES,0.065
RICE,0.064
ROBERTSON,0.064
HUNT,0.063
BLACK,0.063
DANIELS,0.062
PALMER,0.062
MILLS,0.061
NICHOLS,0.06
GRANT,0.06
KNIGHT,0.06
FERGUSON,0.059
ROSE,0.059
STONE,0.059
HAWKINS,0.059
DUNN,0.058
PERKINS,0.058
HUDSON,0.058
SPENCER,0.057
GARDNER,0.057
STEPHENS,0.057
PAYNE,0.057
PIERCE,0.056
BERRY,0.056
MATTHEWS,0.056
ARNOLD,0.056
WAGNER,0.055
WILLIS,0.055
RAY,0.055
WATKINS,0.055
OLSON,0.055
CARROLL,0.055
DUNCAN,0.055
SNYDER,0.055
HART,0.054
CUNNINGHAM,0.054
BRADLEY,0.054
LANE,0.054
ANDREWS,0.054
RUIZ,0.054
HARPER,0.054
FOX,0.053
RILEY,0.053
ARMSTRONG,0.053
CARPENTER,0.053
WEAVER,0.053
GREENE,0.053
LAWRENCE,0.052
ELLIOTT,0.052
CHAVEZ,0.052
SIMS,0.052
AUSTIN,0.052
PETERS,0.052
KELLEY,0.052
FRANKLIN,0.051
LAWSON,0.051
FIELDS,0.051
GUTIERREZ,0.051
RYAN,0.051
SCHMIDT,0.051
CARR,0.051
VASQUEZ,0.051
CASTILLO,0.051
WHEELER,0.051
CHAPMAN,0.05
OLIVER,0.05
MONTGOMERY,0.049
RICHARDS,0.049
WILLIAMSON,0.049
JOHNSTON,0.049
BANKS,0.048
MEYER,0.048
BISHOP,0.048
MCCOY,0.048
HOWELL,0.048
ALVAREZ,0.048
MORRISON,0.048
HANSEN,0.047
FERNANDEZ,0.047
GARZA,0.047
HARVEY,0.047
LITTLE,0.046
BURTON,0.046
STANLEY,0.046
NGUYEN,0.046
GEORGE,0.046
JACOBS,0.046
REID,0.046
KIM,0.045
FULLER,0.045
LYNCH,0.045
DEAN,0.045
GILBERT,0.045
GARRETT,0.045
ROMERO,0.045
WELCH,0.044
LARSON,0.044
FRAZIER,0.044
BURKE,0.044
HANSON,0.043
DAY,0.043
MENDOZA,0.043
MORENO,0.043
BOWMAN,0.043
MEDINA,0.042
FOWLER,0.042
BREWER,0.042
HOFFMAN,0.042
CARLSON,0.042
SILVA,0.042
PEARSON,0.042
HOLLAND,0.042
DOUGLAS,0.041
FLEMING,0.041
JENSEN,0.041
VARGAS,0.041
BYRD,0.041
DAVIDSON,0.041
HOPKINS,0.041
MAY,0.04
TERRY,0.04
HERRERA,0.04
WADE,0.04
SOTO,0.04
WALTERS,0.04
CURTIS,0.04
NEAL,0.039
CALDWELL,0.039
LOWE,0.039
JENNINGS,0.039
BARNETT,0.039
GRAVES,0.039
JIMENEZ,0.039
HORTON,0.039
SHELTON,0.039
BARRETT,0.039
OBRIEN,0.039
CASTRO,0.039
SUTTON,0.038
GREGORY,0.038
MCKINNEY,0.038
LUCAS,0.038
MILES,0.038
CRAIG,0.038
RODRIQUEZ,0.037
CHAMBERS,0.037
HOLT,0.037
LAMBERT,0.037
FLETCHER,0.037
WATTS,0.037
BATES,0.037
HALE,0.037
RHODES,0.037
PENA,0.037
BECK,0.037
NEWMAN,0.036
HAYNES,0.036
MCDANIEL,0.036
MENDEZ,0.036
BUSH,0.036
VAUGHN,0.036
PARKS,0.035
DAWSON,0.035
SANTIAGO,0.035
NORRIS,0.035
HARDY,0.035
LOVE,0.035
STEELE,0.035
CURRY,0.035
POWERS,0.035
SCHULTZ,0.035
BARKER,0.035
GUZMAN,0.034
PAGE,0.034
MUNOZ,0.034
BALL,0.034
KELLER,0.034
CHANDLER,0.034
WEBER,0.034
LEONARD,0.034
WALSH,0.033
LYONS,0.033
RAMSEY,0.033
WOLFE,0.033
SCHNEIDER,0.033
MULLINS,0.033
BENSON,0.033
SHARP,0.033
BOWEN,0.033
DANIEL,0.033
BARBER,0.032
CUMMINGS,0.032
HINES,0.032
BALDWIN,0.032
GRIFFITH,0.032
VALDEZ,0.032
HUBBARD,0.032
SALAZAR,0.032
REEVES,0.032
WARNER,0.031
STEVENSON,0.031
BURGESS,0.031
SANTOS,0.031
TATE,0.031
CROSS,0.031
GARNER,0.031
MANN,0.031
MACK,0.031
MOSS,0.031
THORNTON,0.031
DENNIS,0.031
MCGEE,0.031
FARMER,0.03
DELGADO,0.03
AGUILAR,0.03
VEGA,0.03
GLOVER,0.03
MANNING,0.03
COHEN,0.03
HARMON,0.03
RODGERS,0.03
ROBBINS,0.03
NEWTON,0.03
TODD,0.03
BLAIR,0.03
HIGGINS,0.03
INGRAM,0.03
REESE,0.03
CANNON,0.03
STRICKLAND,0.03
TOWNSEND,0.03
POTTER,0.03
GOODWIN,0.03
WALTON,0.03
ROWE,0.029
HAMPTON,0.029
ORTEGA,0.029
